Patrones: PayasoLanderANN
Salidas: GiroD, Nula, GiroI, ImpGiroD, Impulso, ImpGiroI
Entradas: Px, Py, Vx, Vy, Ang, Vv
0.875695,-6.346150,-1.730859,39.418294,6.825565,0.000000,4
-0.100933,-1.684951,-6.152955,16.305488,14.884926,0.000000,1
9.211540,-61.272253,0.000000,0.000000,0.000000,0.000000,1
9.211540,-55.582991,0.000000,32.698211,0.000000,0.000000,1
9.211540,-49.678721,0.000000,44.912247,0.948263,0.000000,2
9.205421,-47.181264,-0.432165,46.379015,16.506493,0.000000,5
9.082796,-45.355459,-3.424254,40.047057,36.554143,0.000000,3
8.945634,-44.553593,-5.417004,37.230355,42.794070,0.000000,5
8.101220,-42.431942,-13.652340,30.518998,72.075051,0.000000,3
7.670120,-41.785355,-15.129889,30.666363,76.783434,0.000000,0
4.886613,-36.169143,-13.144028,43.117574,24.471718,0.000000,1
4.513534,-35.244068,-13.263377,42.279959,14.516454,0.000000,4
3.757019,-33.613633,-13.273062,35.691036,0.906559,0.000000,5
3.021578,-32.254973,-12.811051,29.326383,1.687802,0.000000,4
2.662511,-31.650003,-12.619348,28.771421,3.132088,0.000000,1
1.965007,-30.315218,-12.122095,32.591498,4.321405,0.000000,0
0.652438,-27.176277,-11.185599,39.778109,-23.795108,0.000000,1
-0.100713,-24.939428,-9.608624,41.702847,-40.537399,0.000000,4
-0.220266,-24.508547,-8.441889,40.268834,-42.028924,0.000000,5
-0.410302,-23.689891,-6.108735,37.451827,-42.822135,0.000000,4
-0.480404,-23.306119,-4.977966,36.068409,-42.241876,0.000000,5
-0.618668,-21.305843,0.303364,27.494537,-24.166764,0.000000,4
-0.614452,-21.003960,0.300330,28.464945,-20.846381,0.000000,1
-0.573761,-17.412591,0.295187,35.214838,-0.888210,0.000000,4
-0.582074,-14.537900,-0.458374,22.372265,5.950470,0.000000,1
-0.661693,-10.458373,-0.518286,33.752276,8.691320,0.000000,4
-0.671786,-10.116815,-0.718390,32.176735,7.872399,0.000000,3
-0.724448,-8.906562,-0.906790,25.965884,-2.135460,0.000000,4
-0.746270,-8.372720,-0.766601,25.452412,-6.924177,0.000000,1
-0.763710,-7.819174,-0.465052,24.947749,-10.826610,0.000000,4
-0.570603,-6.080874,2.937979,14.750119,-20.941639,0.000000,1
-0.291036,-4.652090,2.738388,22.275651,-23.368971,0.000000,2
-0.207085,-4.166830,3.198371,21.879281,-19.673396,0.000000,5
-0.042454,-3.557934,4.135327,17.581317,-9.982582,0.000000,4
0.015866,-3.356995,4.093974,18.669365,-7.075794,0.000000,1
0.241336,-2.471815,3.883286,20.357101,1.864584,0.000000,4
4.931853,-50.738680,0.000000,0.000000,0.000000,0.000000,1
4.931853,-45.051687,0.000000,32.703973,0.000000,0.000000,1
4.931853,-35.576560,0.000000,47.867088,0.000000,0.000000,4
4.931506,-32.887167,-0.024460,37.713481,0.928353,0.000000,5
4.743671,-29.980888,-3.180149,26.477352,38.331845,0.000000,2
4.654801,-29.381508,-3.116864,28.455064,50.413062,0.000000,1
4.568290,-28.744991,-3.054839,30.376352,59.208137,0.000000,0
4.158449,-24.947061,-2.762742,39.495274,43.494847,0.000000,1
3.922008,-22.251024,-3.313004,42.116562,27.425307,0.000000,4
3.053103,-18.664403,-7.960598,26.600047,16.459796,0.000000,5
2.541709,-17.682697,-9.801957,20.849819,24.570757,0.000000,4
2.401730,-17.443783,-9.703938,21.921126,25.809267,0.000000,0
1.479988,-15.503509,-9.044704,28.945296,11.183087,0.000000,1
-0.069894,-10.595740,-7.643153,38.281494,-11.092831,0.000000,4
-0.763484,-7.738421,-4.655334,28.950012,-15.592143,0.000000,1
-1.044064,-6.255222,-3.990487,30.614114,-16.763897,0.000000,4
-1.162211,-3.418810,2.153448,11.990094,-17.273560,0.000000,5
-0.977461,-2.963648,3.058485,9.785869,-5.747891,0.000000,1
-0.670395,-1.823924,2.626004,15.648055,7.470785,0.000000,4
-53.772808,-41.390107,0.000000,0.000000,0.000000,0.000000,1
-53.772808,-39.437570,0.000000,19.740320,-0.937778,0.000000,0
-53.768356,-38.507172,0.317183,21.440938,-12.194922,0.000000,3
-53.672171,-37.738043,2.768413,15.971930,-31.384991,0.000000,4
-51.431124,-36.520504,19.814447,2.514996,-65.221026,0.000000,3
-49.706412,-36.477871,27.598112,-0.078243,-83.810034,0.000000,4
-48.855198,-36.487714,31.035370,-0.572362,-89.767139,0.000000,5
-42.557138,-36.743845,45.694639,-2.876249,-59.600697,0.000000,2
-41.282258,-36.764280,44.785316,-0.318818,-48.225231,0.000000,1
-37.598273,-36.532316,42.827996,4.628012,-25.506012,0.000000,4
-33.932128,-36.511613,43.070669,-2.736318,-14.360359,0.000000,3
-30.269660,-36.922441,42.939183,-7.153456,-27.448003,0.000000,1
-26.182148,-37.068324,40.022125,1.864108,-41.035245,0.000000,2
-21.840400,-36.469213,37.381205,8.956786,-17.235288,0.000000,5
-19.246736,-36.201523,35.481919,2.398524,12.620393,0.000000,4
-17.809926,-36.176160,33.393547,1.232461,26.808560,0.000000,1
-15.515699,-35.913235,31.756931,7.329514,41.549598,0.000000,0
-13.333735,-35.333756,30.200525,13.128209,36.141634,0.000000,1
-10.858421,-34.243640,28.433195,19.705634,27.093341,0.000000,0
-9.285555,-33.310547,26.951380,21.370233,13.532641,0.000000,4
-7.654590,-32.480192,25.165954,15.000535,3.546336,0.000000,5
-5.803327,-31.865309,22.553062,7.417434,13.424298,0.000000,4
-4.896029,-31.682975,21.021021,6.075440,19.760108,0.000000,1
-1.027377,-29.485552,18.261924,21.772586,33.858847,0.000000,2
-0.282318,-28.744944,16.630266,22.567907,42.378616,0.000000,5
0.683544,-27.534827,7.162951,16.689257,71.752826,0.000000,3
0.824569,-26.726642,-0.213892,15.210738,75.587113,0.000000,0
0.807012,-25.505325,-0.201375,21.678453,54.811402,0.000000,1
0.793205,-24.184080,-0.191506,26.761836,38.950667,0.000000,0
0.777494,-22.247574,-0.180299,32.548440,9.344250,0.000000,1
0.771208,-21.170609,-0.088744,32.803493,-3.279816,0.000000,4
0.938894,-18.787566,2.477736,23.936014,-23.433396,0.000000,1
1.091530,-17.511259,2.356303,28.308545,-27.765537,0.000000,2
1.315938,-15.105316,2.196228,34.920333,-7.535327,0.000000,1
1.492928,-12.688043,1.833792,37.721828,8.863552,0.000000,4
1.542062,-10.623335,-0.459594,28.334571,16.639588,0.000000,3
1.438936,-9.347422,-1.891217,20.883100,6.028459,0.000000,4
1.328159,-8.580727,-1.921537,17.617011,-2.541770,0.000000,1
1.145181,-6.944347,-1.790998,24.954855,-10.112424,0.000000,2
1.097868,-6.404097,-1.562659,24.449408,-7.307388,0.000000,5
1.016604,-5.518342,-1.549339,18.555582,5.714030,0.000000,4
0.966233,-5.135884,-1.749748,18.222488,11.670626,0.000000,1
0.862388,-4.273098,-2.213394,19.963293,20.262572,0.000000,4
-0.059117,-2.829594,-8.648740,8.208797,31.560070,0.000000,1
-0.301290,-2.615439,-8.476630,10.554744,31.620047,0.000000,0
-0.884252,-1.867634,-8.061191,16.201412,18.677269,0.000000,1
-25.223322,-22.943084,0.000000,0.000000,0.000000,0.000000,1
-25.223322,-22.973323,0.000000,-1.884352,0.000000,0.000000,4
-25.222982,-23.145227,0.024084,-6.151491,-0.918810,0.000000,3
-25.080268,-24.113925,3.197539,-15.031998,-31.375856,0.000000,4
-23.996149,-25.951639,13.394987,-21.831933,-58.441257,0.000000,3
-23.580734,-26.413268,14.631452,-20.889799,-65.835766,0.000000,0
-22.539561,-27.318373,16.030415,-15.148220,-91.947231,0.000000,4
-21.361103,-27.949714,23.874617,-14.625145,-100.000000,0.000000,5
-18.796521,-28.848246,32.939328,-12.669700,-92.438653,0.000000,2
-16.980433,-29.243451,31.641387,-7.229242,-75.715293,0.000000,1
-15.229595,-29.412156,30.394590,-1.985383,-61.667806,0.000000,2
-12.729225,-29.256346,28.615903,5.504952,-30.384414,0.000000,1
-7.826818,-27.398717,24.963412,17.683385,5.610594,0.000000,4
-5.532669,-26.464715,21.851136,10.523531,12.035393,0.000000,1
-3.740282,-25.534935,20.572411,17.259503,15.717523,0.000000,2
-2.052683,-24.187595,19.368516,23.601659,36.654272,0.000000,1
-0.483254,-22.469840,16.862869,27.451124,54.812585,0.000000,5
0.232791,-21.401565,9.975346,23.635890,70.936153,0.000000,3
0.456121,-19.683046,-3.794661,17.119952,62.509614,0.000000,4
-0.081131,-18.902039,-9.073944,14.314840,50.913148,0.000000,0
-1.064645,-17.256211,-8.372933,22.922660,11.657347,0.000000,1
-1.965240,-14.931493,-7.291327,28.370120,-16.605326,0.000000,4
-2.421701,-12.345518,2.177052,10.745423,-31.525698,0.000000,5
-2.277780,-12.054455,3.601417,9.452548,-25.535855,0.000000,2
-2.177116,-11.814482,3.529749,11.769505,-19.071969,0.000000,1
-1.571907,-9.140924,3.059761,23.195312,1.431561,0.000000,4
-1.311663,-7.812583,2.313800,15.600249,5.083511,0.000000,1
-0.946092,-4.952892,1.854291,25.590885,7.481982,0.000000,4
-0.849273,-3.046947,-0.090059,13.716143,8.097324,0.000000,1
48.971299,-16.550877,0.000000,0.000000,0.000000,0.000000,1
48.971299,-16.564541,0.000000,-1.266650,0.000000,0.000000,4
48.970941,-17.142037,-0.025061,-10.885442,0.943490,0.000000,5
47.839629,-20.383974,-12.633535,-21.764598,87.164672,0.000000,1
46.775875,-21.466080,-14.073109,-14.420330,100.000000,0.000000,4
42.734475,-23.065269,-35.364551,-12.911072,100.000000,0.000000,3
37.200749,-24.310358,-47.637874,-12.379699,68.890374,0.000000,0
32.662824,-24.832279,-44.401611,-3.002152,22.209938,0.000000,1
30.204103,-24.851437,-42.699573,-0.451776,1.795594,0.000000,4
