Patrones: PayasoLanderANN
Salidas: GiroD, Nula, GiroI, ImpGiroD, Impulso, ImpGiroI
Entradas: Px, Py, Vx, Vy, Ang, Vv
-7.380886,-67.254480,24.971317,36.262329,43.915604,0.000000,1
-6.009367,-65.632032,23.320521,37.355612,25.533100,0.000000,4
-3.684997,-63.006890,19.070696,27.486773,5.584668,0.000000,1
-2.121723,-61.027315,17.954682,33.224732,-0.551591,0.000000,2
-1.868316,-60.686437,17.764033,31.626876,0.418842,0.000000,5
-0.907102,-59.500908,16.395745,25.467209,10.829566,0.000000,4
-0.249761,-58.750058,15.154488,23.556409,17.890034,0.000000,1
1.380795,-56.375731,13.236789,29.031425,28.685277,0.000000,4
1.866170,-55.535900,10.548064,24.805411,29.967800,0.000000,3
2.451957,-54.432770,7.021180,17.816756,17.747539,0.000000,4
2.550411,-54.230558,6.950968,18.895250,15.027057,0.000000,1
-36.601307,-78.888889,59.304956,-51.361053,-66.468836,0.000000,1
-22.158215,-85.935426,48.995894,-20.605557,-72.580696,0.000000,2
-13.141893,-87.448185,42.564978,-1.410356,-2.592862,0.000000,1
0.098582,-83.764596,31.832526,24.652530,50.843735,0.000000,4
2.645830,-82.228939,22.118416,19.075192,53.001389,0.000000,1
10.715749,-71.285830,16.361000,46.808498,54.893016,0.000000,1
12.681028,-66.428385,13.571826,51.513469,54.944374,0.000000,4
13.478171,-62.111186,0.597494,39.684216,54.038611,0.000000,3
12.993295,-59.205133,-6.545953,31.060675,23.570956,0.000000,1
12.370225,-56.602791,-6.101256,37.481526,2.240253,0.000000,2
12.114503,-55.370089,-6.030288,37.577530,4.168181,0.000000,5
11.845250,-54.269168,-6.581549,32.774574,12.153143,0.000000,4
11.535564,-53.314469,-7.663485,28.173719,17.807805,0.000000,3
11.051244,-52.267376,-8.996359,22.248484,13.567925,0.000000,4
10.925880,-52.019849,-8.906396,23.274821,12.158811,0.000000,1
9.958806,-49.667745,-8.347545,28.666859,4.887617,0.000000,4
9.720215,-49.100518,-8.370990,25.584849,2.880849,0.000000,3
9.268647,-48.168777,-7.618409,19.661813,-8.927269,0.000000,4
9.064917,-47.767392,-7.160596,19.303010,-14.376866,0.000000,1
-1.797386,-78.148148,9.650289,20.006634,85.409425,0.000000,1
1.724365,-66.944780,7.138323,47.503271,100.000000,0.000000,1
